"sample_name","sample_id","sample_type","organism","donor","sex","age_days","brain_hemisphere","brain_region","brain_subregion","facs_date","facs_container","facs_sort_criteria","rna_amplification_set","library_prep_set","library_prep_avg_size_bp","seq_name","seq_tube","seq_batch","total_reads","percent_exon_reads","percent_intron_reads","percent_intergenic_reads","percent_rrna_reads","percent_mt_exon_reads","percent_reads_unique","percent_synth_reads","percent_ecoli_reads","percent_aligned_reads_total","complexity_cg","genes_detected_cpm_criterion","genes_detected_fpkm_criterion","class","cluster"
"F1S4_161018_001_A01",559102941,"Nuclei","Homo sapiens","H200.1030","M",19710,"L","LGN","MC-p","10/18/2016","F1S4_161018_001","NeuN-positive","A8S4_161028_01","L8S4_161103_01",399,"SM-D9EPI_S65_E1-50","SM-D9EPI","R8S4-161111",2428416,41.1857757179062,45.314805379564,13.4994189025299,0,0.045997061,82.0265144,0.017537769,0.008169935,89.79610577,0.345029483,11530,7791,"Glutamatergic","LGN Exc BTNL9"
"F1S4_161018_001_B01",559102951,"Nuclei","Homo sapiens","H200.1030","M",19710,"L","LGN","MC-p","10/18/2016","F1S4_161018_001","NeuN-positive","A8S4_161028_01","L8S4_161103_01",411,"SM-D9EPI_S66_E1-50","SM-D9EPI","R8S4-161111",2347344,32.8798159077061,50.5013739287456,16.6188101635483,4.26e-05,0.019426211,82.7727423,0.012727576,0.005635305,90.62979265,0.335959988,12055,7997,"Glutamatergic","LGN Exc BTNL9"
"F1S4_161018_001_C01",559102959,"Nuclei","Homo sapiens","H200.1030","M",19710,"L","LGN","MC-p","10/18/2016","F1S4_161018_001","NeuN-positive","A8S4_161028_01","L8S4_161103_01",413,"SM-D9EPI_S67_E1-50","SM-D9EPI","R8S4-161111",2453235,28.5306992051057,56.503653963788,14.9656468311063,0.0013044,0.069826168,85.0119536,0.002462055,0.00801024,90.38286181,0.308800875,11320,7237,"GABAergic","LGN Inh NTRK1"
"F1S4_161018_001_E01",559102975,"Nuclei","Homo sapiens","H200.1030","M",19710,"L","LGN","MC-p","10/18/2016","F1S4_161018_001","NeuN-positive","A8S4_161028_01","L8S4_161103_01",401,"SM-D9EPI_S69_E1-50","SM-D9EPI","R8S4-161111",2424367,32.2445597109027,53.7659422831253,13.9894980059721,0.000123744,0.047105079,83.61914677,0.002546232,0.007853184,90.51022391,0.327511211,12212,8256,"Glutamatergic","LGN Exc BTNL9"
"F1S4_161018_001_F01",559102983,"Nuclei","Homo sapiens","H200.1030","M",19710,"L","LGN","MC-p","10/18/2016","F1S4_161018_001","NeuN-positive","A8S4_161028_01","L8S4_161103_01",391,"SM-D9EPI_S70_E1-50","SM-D9EPI","R8S4-161111",2290101,33.8099959520667,51.7380297567543,14.451974291179,0.001528317,0.031526994,82.22445211,0.00063447,0.006469584,89.51015698,0.347468973,13507,9475,"Glutamatergic","LGN Exc BTNL9"
"F1S4_161018_001_G01",559102991,"Nuclei","Homo sapiens","H200.1030","M",19710,"L","LGN","MC-p","10/18/2016","F1S4_161018_001","NeuN-positive","A8S4_161028_01","L8S4_161103_01",404,"SM-D9EPI_S71_E1-50","SM-D9EPI","R8S4-161111",2305214,34.2561151257491,51.8936779125185,13.8502069617323,8.68e-05,0.055526298,83.89394651,0.001284479,0.004637313,90.67670073,0.331816077,12120,8342,"Glutamatergic","LGN Exc BTNL9"
"F1S4_161018_001_H01",559102999,"Nuclei","Homo sapiens","H200.1030","M",19710,"L","LGN","MC-p","10/18/2016","F1S4_161018_001","NeuN-negative","A8S4_161028_01","L8S4_161103_01",435,"SM-D9EPI_S72_E1-50","SM-D9EPI","R8S4-161111",2191679,47.8503864018101,39.8195951649389,12.3300184332509,0,0.214584344,82.66785419,0.008047711,0.022719112,89.33844783,0.330162242,5836,2839,"Non-Neuronal","Oligo MAG"
"F1S4_161018_002_A01",559103007,"Nuclei","Homo sapiens","H200.1030","M",19710,"L","LGN","MC-p","10/18/2016","F1S4_161018_002","NeuN-positive","A8S4_161028_01","L8S4_161103_01",425,"SM-D9EPI_S73_E1-50","SM-D9EPI","R8S4-161111",2337723,37.1474610481643,48.7766543634367,14.075884588399,0,0.055524115,81.9765216,0.008717885,0.00391321,89.50042413,0.347778207,13222,9481,"Glutamatergic","LGN Exc BTNL9"
"F1S4_161018_002_B01",559103017,"Nuclei","Homo sapiens","H200.1030","M",19710,"L","LGN","MC-p","10/18/2016","F1S4_161018_002","NeuN-positive","A8S4_161028_01","L8S4_161103_01",421,"SM-D9EPI_S74_E1-50","SM-D9EPI","R8S4-161111",2300858,32.1195540425208,52.1094376449444,15.7710083125348,0.000130386,0.031118826,84.72104754,0.002118775,0.004776044,91.54863099,0.325525966,11855,8141,"Glutamatergic","LGN Exc BTNL9"
"F1S4_161018_002_C01",559103025,"Nuclei","Homo sapiens","H200.1030","M",19710,"L","LGN","MC-p","10/18/2016","F1S4_161018_002","NeuN-positive","A8S4_161028_01","L8S4_161103_01",412,"SM-D9EPI_S75_E1-50","SM-D9EPI","R8S4-161111",2295434,30.9913909934215,55.6541645042273,13.3544445023512,0,0.063256012,83.75413974,0.01373945,0.006914161,90.62033585,0.331706522,11577,7605,"GABAergic","LGN Inh NTRK1"
