"symbol"	"ensembl"	"cluster"
"1"	"RAB4B"	"ENSG00000167578.11"	1
"2"	"C12orf5"	"ENSG00000078237.4"	126
"3"	"PIGV"	"ENSG00000060642.6"	107
"4"	"CALB2"	"ENSG00000172137.14"	16
"5"	"MFSD3"	"ENSG00000167700.3"	18
"6"	"ZNF708"	"ENSG00000182141.4"	110
"7"	"MYADML2"	"ENSG00000185105.4"	12
"8"	"RAD23A"	"ENSG00000179262.4"	1
"9"	"VDAC3"	"ENSG00000078668.8"	126
"10"	"ARFGAP1"	"ENSG00000101199.8"	1
"11"	"RORB"	"ENSG00000198963.5"	125
"12"	"CTSA"	"ENSG00000064601.11"	6
"13"	"IL32"	"ENSG00000008517.12"	234
"14"	"PTPN4"	"ENSG00000088179.4"	21
"15"	"RP11-369E15.3"	"ENSG00000254092.1"	17
"16"	"TMEM143"	"ENSG00000161558.5"	3
"17"	"GLI4"	"ENSG00000250571.2"	1
"18"	"OTUD1"	"ENSG00000165312.5"	117
"19"	"CACHD1"	"ENSG00000158966.9"	113
"20"	"HSPA14"	"ENSG00000187522.8"	127
"21"	"MTRF1"	"ENSG00000120662.10"	117
"22"	"SLC45A4"	"ENSG00000022567.5"	17
"23"	"RTN2"	"ENSG00000125744.7"	17
"24"	"ZBTB22"	"ENSG00000236104.2"	119
"25"	"MTND2P28"	"ENSG00000225630.1"	110
"26"	"RWDD2A"	"ENSG00000013392.5"	126
"27"	"SCFD2"	"ENSG00000184178.11"	172
"28"	"BCL3"	"ENSG00000069399.8"	5
"29"	"NDUFAF2"	"ENSG00000164182.6"	22
"30"	"DIO3OS"	"ENSG00000258498.1"	8
"31"	"NUDT18"	"ENSG00000173566.9"	13
"32"	"SORL1"	"ENSG00000137642.7"	125
"33"	"CWC27"	"ENSG00000153015.10"	10
"34"	"MYOM2"	"ENSG00000036448.5"	19
"35"	"MAP9"	"ENSG00000164114.14"	10
"36"	"MAF1"	"ENSG00000179632.5"	6
"37"	"FOXP1"	"ENSG00000114861.14"	9
"38"	"RAD17"	"ENSG00000152942.14"	122
"39"	"DCP1A"	"ENSG00000162290.11"	10
"40"	"BEX2"	"ENSG00000133134.7"	13
"41"	"NFATC4"	"ENSG00000100968.9"	5
"42"	"RRN3"	"ENSG00000085721.8"	117
"43"	"DESI2"	"ENSG00000121644.14"	117
"44"	"COX17"	"ENSG00000138495.2"	17
"45"	"SETD6"	"ENSG00000103037.7"	12
"46"	"PKMYT1"	"ENSG00000127564.12"	12
"47"	"KBTBD4"	"ENSG00000123444.9"	128
"48"	"FAM89B"	"ENSG00000176973.7"	6
"49"	"ZNF781"	"ENSG00000196381.5"	117
"50"	"PHF1"	"ENSG00000112511.13"	4
"51"	"TPI1"	"ENSG00000111669.9"	128
"52"	"RGS5"	"ENSG00000143248.7"	121
"53"	"ANKMY1"	"ENSG00000144504.11"	2
"54"	"GUCY1A3"	"ENSG00000164116.12"	119
"55"	"PSMB6"	"ENSG00000142507.5"	119
"56"	"FBXO45"	"ENSG00000174013.7"	119
"57"	"VSTM2A"	"ENSG00000170419.6"	22
"58"	"CHN2"	"ENSG00000106069.14"	17
"59"	"TH1L"	"ENSG00000101158.7"	8
"60"	"MTF2"	"ENSG00000143033.12"	3
"61"	"ZCCHC8"	"ENSG00000033030.9"	114
"62"	"FAT1"	"ENSG00000083857.9"	107
"63"	"MARS"	"ENSG00000166986.8"	17
"64"	"MT1A"	"ENSG00000205362.6"	234
"65"	"CWC15"	"ENSG00000150316.7"	126
"66"	"MLKL"	"ENSG00000168404.8"	115
"67"	"NOP2"	"ENSG00000111641.6"	6
"68"	"FANK1"	"ENSG00000203780.6"	13
"69"	"PTPRB"	"ENSG00000127329.10"	112
"70"	"FAHD2B"	"ENSG00000144199.6"	257
"71"	"TMCO1"	"ENSG00000143183.11"	107
"72"	"RAB5C"	"ENSG00000108774.10"	123
"73"	"ZNF815P"	"ENSG00000235944.3"	12
"74"	"DDX42"	"ENSG00000198231.7"	122
"75"	"KDM5B"	"ENSG00000117139.11"	119
"76"	"PSMB10"	"ENSG00000205220.7"	1
"77"	"STPG1"	"ENSG00000001460.13"	16
"78"	"RARA"	"ENSG00000131759.13"	19
"79"	"PRPF3"	"ENSG00000117360.8"	106
"80"	"DDX50"	"ENSG00000107625.7"	122
"81"	"C16orf95"	"ENSG00000260456.1"	12
"82"	"FAM188B"	"ENSG00000106125.14"	16
"83"	"RP11-742N3.1"	"ENSG00000227097.4"	109
"84"	"MAP2K7"	"ENSG00000076984.12"	7
"85"	"RP4-697K14.7"	"ENSG00000130589.11"	115
"86"	"VRK3"	"ENSG00000105053.5"	123
"87"	"AP5S1"	"ENSG00000125843.6"	2
"88"	"RP1-269M15.3"	"ENSG00000233508.1"	125
"89"	"SLC2A1"	"ENSG00000117394.13"	111
"90"	"MINOS1"	"ENSG00000173436.9"	126
"91"	"FER"	"ENSG00000151422.8"	9
"92"	"AATF"	"ENSG00000108270.6"	5
"93"	"RP11-774O3.3"	"ENSG00000251615.1"	123
"94"	"ABCA9"	"ENSG00000154258.12"	125
"95"	"B3GALNT1"	"ENSG00000169255.9"	128
"96"	"WASH4P"	"ENSG00000234769.4"	6
"97"	"TOMM40L"	"ENSG00000158882.8"	23
"98"	"LA16c-329F2.1"	"ENSG00000261399.1"	2
"99"	"HCG27"	"ENSG00000206344.5"	4
"100"	"RPRM"	"ENSG00000177519.3"	100
"101"	"TNNT1"	"ENSG00000105048.11"	108
"102"	"MT-ND1"	"ENSG00000198888.2"	17
"103"	"RP11-245J24.1"	"ENSG00000238276.1"	108
"104"	"GRAMD1C"	"ENSG00000178075.14"	108
"105"	"RP11-364B14.3"	"ENSG00000230707.1"	128
"106"	"KCNE4"	"ENSG00000152049.4"	114
"107"	"FAM217B"	"ENSG00000196227.6"	21
"108"	"AGXT2L2"	"ENSG00000175309.10"	106
"109"	"C7orf59"	"ENSG00000188186.6"	5
"110"	"PHLDA2"	"ENSG00000181649.5"	14
"111"	"SMAP1"	"ENSG00000112305.10"	21
"112"	"MRPS24"	"ENSG00000062582.9"	119
"113"	"CBL"	"ENSG00000110395.3"	118
"114"	"C1QTNF5"	"ENSG00000223953.3"	5
"115"	"LRRC37BP1"	"ENSG00000214719.5"	11
